Date,Cluster,Healthy,Incubating,Infected,M_Suscept,M_Latent,M_Infected,Risk,lat,lon
24,2,566,0,0,2250.6145340582143,2.6921335067938736,0.03922171815563852,2.87905006350132e-06,17.47290157,98.02630126
24,3,172,0,0,2250.5450094455496,2.7681899519958715,0.03268988561802171,2.6929630631025886e-06,17.22720545,98.22567455
24,4,239,0,0,2243.72490885628,9.463717273712923,0.15726315316951078,9.188299036344045e-06,17.2121,97.7684
24,5,65,0,0,2252.8833764140745,0.44858713443507703,0.013925734652461426,1.0254709402052405e-06,16.71198301,98.56604615
24,6,135,0,0,2250.4256525731257,2.884250219253984,0.03598649078305399,2.726346524035261e-06,17.3383,97.667
24,7,597,0,0,2250.423320185776,2.8773434994242972,0.045225597963241465,3.5068779126285016e-06,17.56081089,97.92060989
25,0,503,0,0,23010.12418574363,37.94947228076264,0.7383014024514779,5.486452211003674e-05,17.33876038,98.1068906
25,1,208,0,0,11957.253822223649,6.606005096926161,0.10499096129171363,7.174419554194997e-06,17.11371281,98.40051491
25,2,577,0,0,2465.328855625289,2.4126186338824693,0.04560106857209157,3.451511197696189e-06,17.47290157,98.02630126
25,3,170,0,0,2465.266283473891,2.481413161388352,0.03937869246415199,2.87670993438591e-06,17.22720545,98.22567455
25,4,251,0,0,2459.128192943548,8.486111381268477,0.17277100292571268,1.037936810918771e-05,17.2121,97.7684
25,5,62,0,0,2467.3708137455633,0.4037284209915693,0.012533161187215282,1.2254646494166053e-06,16.71198301,98.56604615
25,6,133,0,0,2465.1588622887093,2.5827713745312226,0.04544166450211137,3.166811188908751e-06,17.3383,97.667
25,7,596,0,0,2465.1567631400944,2.5803618236686408,0.04995036398014437,3.979852620765248e-06,17.56081089,97.92060989
26,0,484,0,0,24947.171180293753,33.97868164299005,0.8403146719026667,6.497052341573004e-05,17.33876038,98.1068906
26,1,213,0,0,13012.508140766564,5.910478054800671,0.1294183975954165,9.239204593670799e-06,17.11371281,98.40051491
26,2,595,0,0,2692.1362365795535,2.158858349104952,0.05353938310415278,4.0128940343440575e-06,17.47290157,98.02630126
26,3,169,0,0,2692.079921643295,2.220098065428092,0.04861460303916154,3.4653249368453744e-06,17.22720545,98.22567455
26,4,254,0,0,2686.5556401659865,7.6012637840642565,0.1917303617105146,1.1402886193097036e-05,17.2121,97.7684
26,5,60,0,0,2693.9739988877996,0.3633555788924124,0.011279845068493754,1.1029181844749447e-06,16.71198301,98.56604615
26,6,132,0,0,2691.9832425766317,2.3103131758692657,0.05507855926073494,3.9988664761858e-06,17.3383,97.667
